# aip_tip_1480618933.out
#
# Format: <prover> <axiom type> <tip file> <status> <computation time in seconds>
#
# The status column indicates whether a proof was found:
# Success indicates a proof was found.
# Failure indicates that the problem (with induction axioms) does not admit a proof.
# Error indicates abnormal termination.
#
# The TIP problems which are not listed below either terminated abnormally or
# reached the timeout (300 s).

spass sequential ./../benchmarks/benchmarks/isaplanner/prop_18.smt2 error -1
spass sequential ./../benchmarks/benchmarks/isaplanner/prop_16.smt2 error -1
spass sequential ./../benchmarks/benchmarks/isaplanner/prop_23.smt2 error -1
spass sequential ./../benchmarks/benchmarks/isaplanner/prop_25.smt2 error -1
spass sequential ./../benchmarks/benchmarks/isaplanner/prop_01.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/propositional_AndCommutative.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/sort_BSortIsSort.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/list_z_elem.smt2 success 0.79
spass independent ./../benchmarks/benchmarks/tip2015/list_elem.smt2 success 0.81
spass independent ./../benchmarks/benchmarks/tip2015/list_elem_map.smt2 success 0.88
spass independent ./../benchmarks/benchmarks/tip2015/sort_MSortTDPermutes.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/sort_MSortBU2Count.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/nat_boring_min_idem.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/list_return_2.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/sort_StoogeSort2Permutes.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/sort_StoogeSort2Sorts.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/regexp_RecPlus.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/list_z_elem_map.smt2 success 1.23
spass independent ./../benchmarks/benchmarks/tip2015/nat_eq_refl.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/weird_nat_mul3acc_comm12.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/list_return_1.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/int_add_ident_left.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/sort_StoogeSort2Count.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/regexp_RecEps.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/mccarthy91_M1.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/sort_MSortTDSorts.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/regexp_RecStar.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/sort_StoogeSortIsSort.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/nat_boring_ge_reflexive.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/nat_le_reflexive.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/sort_NStoogeSortCount.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/weird_nat_add3_spec.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/regexp_SeqDistrPlus.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/sort_BubSortCount.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/sort_BSortSorts.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/sort_BSortPermutes.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/propositional_Okay.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/regexp_RecSeq.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/nat_pow_one.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/sort_BSortCount.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/list_z_perm_refl.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/sort_NStoogeSortPermutes.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/sort_MSortBUPermutes.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/sort_BubSortPermutes.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/regexp_Reverse.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/sort_NStoogeSortSorts.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/nat_lt_irreflexive.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/nat_max_idem.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/int_add_inv_left.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/regexp_RecNil.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/sort_MSortBU2Sorts.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/int_mul_ident_left.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/polyrec_seq_index.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/fermat_last.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/sort_StoogeSort2IsSort.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/sort_StoogeSortCount.smt2 error -1
spass independent ./../benchmarks/benchmarks/tip2015/relaxedprefix_correct.smt2 error -1
