# aip_tip_1481298011.out
#
# Format: <prover> <axiom type> <tip file> <status> <computation time in seconds>
#
# The status column indicates whether a proof was found:
# Success indicates a proof was found.
# Failure indicates that the problem (with induction axioms) does not admit a proof.
# Error indicates abnormal termination.
#
# The TIP problems which are not listed below either terminated abnormally or
# reached the timeout (600 s).

escargot sequential ./../benchmarks/benchmarks/tip2015/sort_MSortTDIsSort.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/list_PairOdds.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/regexp_Star.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/sort_NStoogeSortIsSort.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/subst_SubstFreeYes.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/weird_nat_add3_assoc1.smt2 success 94.40
escargot sequential ./../benchmarks/benchmarks/tip2015/regexp_PlusIdempotent.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/propositional_Sound.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/nat_lt_asymmetric.smt2 success 2.75
escargot sequential ./../benchmarks/benchmarks/tip2015/nat_boring_min_comm.smt2 success 2.70
escargot sequential ./../benchmarks/benchmarks/tip2015/sort_MSortBU2IsSort.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/list_Interleave.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/regexp_PlusAssociative.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/sort_NStoogeSort2IsSort.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/regexp_PlusCommutative.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/nat_le_antisym.smt2 success 5.16
escargot sequential ./../benchmarks/benchmarks/tip2015/nat_max_comm.smt2 success 2.83
escargot sequential ./../benchmarks/benchmarks/tip2015/nat_boring_min_assoc.smt2 success 4.79
escargot sequential ./../benchmarks/benchmarks/tip2015/sort_MSortTDCount.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/sort_NStoogeSort2Count.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/sort_BubSortIsSort.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/list_append_inj_2.smt2 success 3.00
escargot sequential ./../benchmarks/benchmarks/tip2015/sort_BubSortSorts.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/sort_NStoogeSort2Sorts.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/bin_plus_comm.smt2 success 25.66
escargot sequential ./../benchmarks/benchmarks/tip2015/mccarthy91_M2.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/tree_Flatten3.smt2 failure 1.47
escargot sequential ./../benchmarks/benchmarks/tip2015/weird_nat_add3_comm13.smt2 success 232.12
escargot sequential ./../benchmarks/benchmarks/tip2015/regexp_SeqAssociative.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/nat_boring_max_min_abs.smt2 success 2.68
escargot sequential ./../benchmarks/benchmarks/tip2015/propositional_AndIdempotent.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/weird_nat_add3_rrot.smt2 success 82.42
escargot sequential ./../benchmarks/benchmarks/tip2015/weird_nat_add3_comm23.smt2 success 4.68
escargot sequential ./../benchmarks/benchmarks/tip2015/nat_boring_gt_irreflexive.smt2 success 1.83
escargot sequential ./../benchmarks/benchmarks/tip2015/sort_StoogeSortPermutes.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/sort_StoogeSortSorts.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/sort_NStoogeSort2Permutes.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/grammars/simp_expr_unambig4.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/prod/prop_13.smt2 failure 1.02
escargot sequential ./../benchmarks/benchmarks/prod/prop_41.smt2 success 4.09
escargot sequential ./../benchmarks/benchmarks/prod/prop_39.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/prod/prop_15.smt2 failure 1.02
escargot sequential ./../benchmarks/benchmarks/prod/prop_37.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/prod/prop_02.smt2 success 4.00
escargot sequential ./../benchmarks/benchmarks/prod/prop_40.smt2 success 3.34
escargot sequential ./../benchmarks/benchmarks/prod/prop_32.smt2 failure 1.61
escargot sequential ./../benchmarks/benchmarks/prod/prop_43.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/prod/prop_36.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/prod/prop_38.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/prod/prop_03.smt2 success 3.88
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_13.smt2 success 1.67
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_44.smt2 success 2.54
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_12.smt2 success 4.94
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_55.smt2 success 4.85
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_22.smt2 success 4.19
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_62.smt2 success 2.55
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_79.smt2 success 3.66
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_35.smt2 success 1.87
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_21.smt2 success 2.40
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_39.smt2 success 3.86
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_04.smt2 success 4.02
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_28.smt2 success 8.55
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_27.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_14.smt2 success 3.24
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_19.smt2 success 3.31
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_06.smt2 success 2.04
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_70.smt2 success 3.07
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_37.smt2 success 6.59
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_31.smt2 success 3.52
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_11.smt2 success 1.25
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_76.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_02.smt2 success 269.74
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_07.smt2 success 2.58
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_46.smt2 success 1.15
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_40.smt2 success 1.33
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_26.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_33.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_09.smt2 success 3.01
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_32.smt2 success 2.76
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_43.smt2 success 3.70
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_10.smt2 success 1.57
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_36.smt2 success 1.96
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_34.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_08.smt2 success 2.39
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_82.smt2 success 45.39
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_45.smt2 success 1.47
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_80.smt2 success 37.31
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_42.smt2 success 1.60
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_05.smt2 success 5.77
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_17.smt2 success 2.32
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_18.smt2 success 2.21
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_16.smt2 success 1.58
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_56.smt2 success 9.56
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_23.smt2 success 2.74
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_25.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/isaplanner/prop_01.smt2 success 4.05
